"field_name","title","name","version","intent","description","data_publishing_system","ui_element","reference_files","edit_data_source_url","pages","tags","groups","contributors","topics","licenses","author","data_dictionary_type","data_dictionary","program_contact_email","public_access_level","rights","homepage","data_standard","language","related_content","metric","data_methodology","documentation_template","updated","data_attributes_/_options","calculations","datasets","ui_code_in_github","ui_tags","published","image","order"
"","Reopening Matrix Data","reopening-matrix-data","v1.0.0","","This data is used to populate the matrix on this page...
https://covid19.ca.gov/safer-economy/
Every column without a ""_"" will be translated.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Reopening Roadmap "",""Blueprint for a Safer Economy Tiers""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","reopening-matrix-data","","[""Web component""]","","","3"
"","reopening-roadmap-activity-data","reopening-roadmap-activity-data","v1.0.0","","Data used for What's Open search. Associates autocomplete results with tier data.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Reopening Roadmap "",""Blueprint for a Safer Economy Tiers"",""What's open search"",""State industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","reopening-roadmap-activity-data","","[""Web component""]","","","3"
"","rsho","rsho","v1.0.0","","Was used for Regional Stay at Home order.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Regional Stay at Home Order""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","rsho","","[""Web component""]","","","3"
"","statusdescriptors","statusdescriptors","v1.0.0","","Tier status descriptors.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Blueprint for a Safer Economy Tiers"",""Web UI Labels""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","statusdescriptors","","[""Web component""]","","","3"
"","safer-economy-lang","safer-economy-lang","v1.0.0","Provide translatable interface strings for reopening search tool.
","This table is used to to get the text fields for the search box on Safer Economy. https://covid19.ca.gov/safer-economy/","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Web UI Labels""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","safer-economy-lang","","[""Web component""]","","","3"
"","Summary - statewide","The disparities in our diverse communities are severe","v1.0.0","Show summary charts that make the main point of the page (if users stopped after seeing just those)","COVID-19 disproportionately affects California’s low income, Latino, Black, and Pacific Islander communities, as well as essential workers such as those in health care, grocery, and cleaning services.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""State Dashboard""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","**R/E case rate, median income case rate, health equity metric**

**Metric value = all %s**


","","","2021-03-17T01:08:00.000Z","- Case rate of Latino, black + NHPI
- Case rate of median income <40K
- Lowest 25% testing positivity

","","CasesAndDeathsByDemographic, CasesLowIncome","","[""Web component""]","","","6"
"","% Missingness by Race and Ethnicity (R/E)","Data completeness is critical to addressing inequity: Reporting by race and ethnicitData completeness is critical to addressing inequityy in California","v1.0.0","“The disparities among race and ethnicity lines are so important and we don’t have the data to describe it”","We know a lot about the impact of COVID-19 on certain communities, but we can better invest our resources by increasing the collection of race, ethnicity, and sexual orientation and gender identity data. This data collection requires close cooperation with private sector partners, laboratories, and state and county officials. View resources on how to improve reporting.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Equity"",""Data completeness"",""Race and ethnicity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","**% Missing Race/Ethnicity Data** (Testing, Cases and Deaths) – by County 

**Metric value = all %s**


","","","2021-03-17T01:08:00.000Z","Unknown data for Case, Deaths, and Testing
","","MissingnessData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/data-completeness/index.js","[""Web component"",""d3 chart""]","","","6"
"","% Missingness by Race and Ethnicity (R/E)","Data completeness is critical to addressing inequity: Reporting by race and ethnicitData completeness is critical to addressing inequityy in California","v1.0.0","“The disparities among race and ethnicity lines are so important and we don’t have the data to describe it”","We know a lot about the impact of COVID-19 on certain communities, but we can better invest our resources by increasing the collection of race, ethnicity, and sexual orientation and gender identity data. This data collection requires close cooperation with private sector partners, laboratories, and state and county officials. View resources on how to improve reporting.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Equity"",""Data completeness"",""Race and ethnicity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","**% Missing Race/Ethnicity Data** (Testing, Cases and Deaths) – by County 

**Metric value = all %s**


","","","2021-03-17T01:08:00.000Z","Unknown data for Case, Deaths, and Testing
","","MissingnessData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/data-completeness/index.js","[""Web component"",""d3 chart""]","","","6"
"","% Missingness by Race and Ethnicity (R/E)","Data completeness is critical to addressing inequity: Reporting by race and ethnicitData completeness is critical to addressing inequityy in California","v1.0.0","“The disparities among race and ethnicity lines are so important and we don’t have the data to describe it”","We know a lot about the impact of COVID-19 on certain communities, but we can better invest our resources by increasing the collection of race, ethnicity, and sexual orientation and gender identity data. This data collection requires close cooperation with private sector partners, laboratories, and state and county officials. View resources on how to improve reporting.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Equity"",""Data completeness"",""Race and ethnicity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","**% Missing Race/Ethnicity Data** (Testing, Cases and Deaths) – by County 

**Metric value = all %s**


","","","2021-03-17T01:08:00.000Z","Unknown data for Case, Deaths, and Testing
","","MissingnessData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/data-completeness/index.js","[""Web component"",""d3 chart""]","","","6"
"","Proportion by Race and Ethnicity (R/E)","COVID-19 impact by race and ethnicity: Cases, deaths and tests rate relative to percentage of population in California","v1.0.0","See how Latinx is only x% of population and yet y% of cases”","","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","**Proportion **(Testing, Cases, Deaths) – by County

**Metric value = %**


","","","2021-03-17T01:08:00.000Z","- R/E of total cases, deaths, testing

","","CumulativeData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/relative-percentage-by-100k/index.js","[""Web component"",""d3 chart""]","","","6"
"","R/E Rate relative to population","COVID-19 impact by race and ethnicity: Cases, deaths and tests rate per 100K by race and ethnicity group in California","v1.0.0","“Despite not having complete data, the data we have does show there is a disproportionate impact on certain communities” e.g 6/10,000 Latinos have COVID “More evidence of above.","","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Equity""]","","","[""COVID-19""]","","","Developer notes","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/relative-percentage-by-pop/README.md","","","","","","[""English""]","","
**Rate** – show the proportion of cases, testing, deaths by gender, age, and R/E in comparison to their percent of the total population 
 
**Metric value = rate by 100K**
","","","2021-03-17T00:54:00.000Z","
- % of Cases, deaths and testing of R/E / Population of R/E (\*100,000)

","","CumulativeStatewideData","https://github.com/cagov/covid19/tree/master/src/js/equity-dash/charts/relative-percentage-by-pop","[""Web component"",""d3 chart""]","","","6"
"","Income","Factors that increase risk of infection and severe illness","v1.0.0","“This is more than about race”","Californians in crowded housing or transportation, and with less access to paid leave and other worker protections, have a higher risk of infection of COVID-19. Social determinants of health, such as food insecurity, lack of health insurance, and housing instability can increase the risk of poor outcomes. These social determinants of health are often the result of structural racism.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Income"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","Case rate by median income 
","","","2021-03-17T00:54:00.000Z","
- Median income

","","SocialData, SocialData, SocialData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/social-determinants/index.js","[""Web component"",""d3 chart""]","","","6"
"","Crowded housing ","Factors that increase risk of infection and severe illness","v1.0.0","“This is more than about race”","Californians in crowded housing or transportation, and with less access to paid leave and other worker protections, have a higher risk of infection of COVID-19. Social determinants of health, such as food insecurity, lack of health insurance, and housing instability can increase the risk of poor outcomes. These social determinants of health are often the result of structural racism.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Crowded housing"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","Case rate by crowded housing 
","","","2021-03-17T00:54:00.000Z","Crowded housing
","","SocialData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/social-determinants/index.js","[""Web component"",""d3 chart""]","","","6"
"","Proportion by Race and Ethnicity (R/E)","COVID-19 impact by race and ethnicity: Cases, deaths and tests rate relative to percentage of population in California","v1.0.0","See how Latinx is only x% of population and yet y% of cases”","","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Race and ethnicity"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","**Proportion **(Testing, Cases, Deaths) – by County

**Metric value = %**


","","","2021-03-17T01:08:00.000Z","R/E of total population
","","CumulativeData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/relative-percentage-by-100k/index.js","[""Web component"",""d3 chart""]","","","6"
"","Access to health insurance","Factors that increase risk of infection and severe illness","v1.0.0","“This is more than about race”","Californians in crowded housing or transportation, and with less access to paid leave and other worker protections, have a higher risk of infection of COVID-19. Social determinants of health, such as food insecurity, lack of health insurance, and housing instability can increase the risk of poor outcomes. These social determinants of health are often the result of structural racism.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Health insurance"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","Case rate by those that live without health insurance 
","","","2021-03-17T00:54:00.000Z","Health insurance access
","","SocialData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/social-determinants/index.js","[""Web component"",""d3 chart""]","","","6"
"","Equity metric - test positivity","COVID-19 health equity metric","v1.0.0","“This is so important that we use this to determine a county’s reopening” (so that everyone is brought along)","The health equity metric measures the positivity rate in the most disproportionately-impacted communities. These communities are identified in the Healthy Places Index as census tracts that have less healthy community conditions such as low median income, education completeness, and health care access. The Blueprint for a Safer Economy ensures that counties address COVID-19 in all communities. To open further, the health equity metric cannot significantly fall behind overall county positivity rates.

","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Health quartile positivity"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","Testing positivity in the lowest 25% of the healthy places HE index, by county
","","","2021-03-17T00:54:00.000Z","- Test positivity rate
- Lowest 25% healthy HE index

","","HealthEquityData","https://github.com/cagov/covid19/blob/master/src/js/equity-dash/charts/healthy-places-index/index.js","[""Web component"",""d3 chart""]","","","6"
"","SOGI % missingness","","v1.0.0","Also note that we don’t have SOGI information","","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""Sexual orientation and gender identity"",""Equity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","% Missing SOGI Data (Cases and Deaths) by County
","","","2021-03-17T01:09:00.000Z","Unknown data for Cases and Deaths for SO and GI
","","MissingnessSOGIData","","","","","6"
"","Race/Ethnicity list","","v1.0.0","","","[""String transformation in covid19 code""]","","","","","[""COVID-19"",""Equity"",""Race and ethnicity""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:54:00.000Z","- Black
- American Indian or Alaska Native (AI/AN)
- Asian American
- Latino
- Multi-Race
- Native Hawaiian and other Pacific Islander (NHPI)
- White
- Other
- Unknown

","","","","","","","6"
"","Covid Tracker Box","Tracking COVID-19 in CA","v2.0.0","Show daily stats about Covid-19 in California.","Cases box, Deaths Box, Testing Box, Vaccines box, and various paragraph text throughout the page","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-30T00:19:00.000Z","","","daily-stats-v2.metrics, daily-stats-v2.hospitalizations, daily-stats-v2.data.vaccinations","","[""Web component""]","","[{""id"":""attNvWoDa9S0Kv5yg"",""url"":""https://dl.airtable.com/.attachments/aac145534ccadf95255f370f96f1826d/07e5d8ca/ScreenShot2021-03-16at2_56_53PM.png"",""filename"":""Screen Shot 2021-03-16 at 2_56_53 PM.png"",""size"":76735,""type"":""image/png"",""thumbnails"":{""small"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/7c54be3770011808236ad01ef12ed6ab/df41143f"",""width"":43,""height"":36},""large"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/ad62fdbece08a314f979aa38694bded5/65784c7f"",""width"":614,""height"":512},""full"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/c5e032e66bf2a653b796e98460516b10/ec32e561"",""width"":3000,""height"":3000}}}]","1"
"","Telehealth","","","","","","","","","","[""COVID-19""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","telehealth","","","","","20"
"","Vaccines","","","","","","","","","","[""COVID-19"",""Vaccines""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines","","","","","5"
"","Vaccination by Groups: Race and Ethnicity","People with at least one dose of vaccine administered by race and ethnicity in California","v1.0.0","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""Vaccinations"",""Equity"",""Race and ethnicity""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines_by_race_ethnicity_california","https://github.com/cagov/covid19/tree/master/src/js/vaccines/charts/cagov-chart-vaccination-groups-race-ethnicity","[""Web component"",""d3 chart""]","","","5"
"","Vaccination by Groups: Age","People with at least one dose of vaccine administered by age in California","v1.0.0","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""Vaccinations"",""Equity"",""Age""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines_by_age_california","https://github.com/cagov/covid19/tree/master/src/js/vaccines/charts/cagov-chart-vaccination-groups-age","[""Web component"",""d3 chart""]","","","5"
"","Vaccination by Groups: Gender","People with at least one dose of vaccine administered by gender in California","v1.0.0","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""Vaccinations"",""Equity"",""Gender""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines_by_gender_california","https://github.com/cagov/covid19/tree/master/src/js/vaccines/charts/cagov-chart-vaccination-groups-gender","[""Web component"",""d3 chart""]","","","5"
"","Vaccination by Groups: Race and Ethnicity, County","People with at least one dose of vaccine administered by race and ethnicity in [COUNTY]","v1.0.0","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""Vaccinations"",""Equity"",""Race and ethnicity""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines_by_race_ethnicity_{county}","https://github.com/cagov/covid19/tree/master/src/js/vaccines/charts/cagov-chart-vaccination-groups-race-ethnicity","[""Web component"",""d3 chart""]","","","5"
"","Vaccination by Groups: Age, County","People with at least one dose of vaccine administered by age in [COUNTY]","v1.0.0","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""Vaccinations"",""Equity"",""Age""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines_by_age_{county}","https://github.com/cagov/covid19/tree/master/src/js/vaccines/charts/cagov-chart-vaccination-groups-age","[""Web component"",""d3 chart""]","","","5"
"","Vaccination by Groups: Gender, County","People with at least one dose of vaccine administered by gender in [COUNTY]","v1.0.0","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","The distribution of first vaccine doses by race and ethnicity, age, and gender is shown below. Providing this information is voluntary and not required for vaccination. 

Initially, vaccination was limited to healthcare workers and long-term care residents. Hence the data reflects those populations more than other California residents. Data shows the cumulative total administered and are updated daily.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""Vaccinations"",""Equity"",""Gender""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T00:55:00.000Z","","","vaccines_by_gender_{county}","https://github.com/cagov/covid19/tree/master/src/js/vaccines/charts/cagov-chart-vaccination-groups-gender","[""Web component"",""d3 chart""]","","","5"
"","State Dashboard","","v2.0.0","Show daily stats about Covid-19 in California.","Cases box, Deaths Box, Testing Box, Vaccines box, and various paragraph text throughout the page","[""Wordpress page > Web component HTML markup with data labels and attributes > published via Wordpress API to covid19 11ty pages"",""Snowflake data pulled by FaaS script and published to Github""]","","","","","[""COVID-19"",""State Dashboard""]","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-30T00:19:00.000Z","","","CovidStateDashboardV2, vaccines, vaccines.metrics, vaccines.hospitalizations","","[""Web component""]","","[{""id"":""att1heBXt94rCNkRP"",""url"":""https://dl.airtable.com/.attachments/5e0a9e6932fbebb640f0caf4f37b5a74/be3bbf73/ScreenShot2021-03-29at5_18_44PM.png"",""filename"":""Screen Shot 2021-03-29 at 5_18_44 PM.png"",""size"":99728,""type"":""image/png"",""thumbnails"":{""small"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/26cce10bfa5e10a9ee775efa2b2775f4/51d51bf9"",""width"":85,""height"":36},""large"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/a041b81ec891502b21faaffc1ef5866b/c425aaff"",""width"":1203,""height"":512},""full"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/a6198be7e04babf21c9b5fdd1d5fb2b5/1411d73e"",""width"":3000,""height"":3000}}}]","2"
"","Infections by group: Race and ethnicity, cases","Infections by group","v1.0.0","Infections by group: Race and ethnicity","The distribution of confirmed COVID-19 cases reveals significant disparities within California’s overall racial and ethnic demographics, with Latino and Native Hawaiian / Pacific Islander groups having a disproportionate number of cases relative to their population in the state. Additional COVID-19 race and ethnicity data is available.","[""Snowflake data pulled by FaaS script and published to Github""]","","","","","","[""CDPH"",""ODI""]","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:02:00.000Z","","","infections-by-group.data.race_and_ethnicity.cases","","[""Web component"",""d3 chart""]","","[{""id"":""attq9dkcd34vBdiAK"",""url"":""https://dl.airtable.com/.attachments/e19127a8213beee3f2bcb0d0ad798d98/e9cbded1/ScreenShot2021-03-16at5_23_00PM.png"",""filename"":""Screen Shot 2021-03-16 at 5_23_00 PM.png"",""size"":139637,""type"":""image/png"",""thumbnails"":{""small"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/78c2800b4f76387eb586f03f44d5e1d9/3b7f2881"",""width"":39,""height"":36},""large"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/21463094ebfbfe8799ae3a7d1bdea966/859f931e"",""width"":549,""height"":512},""full"":{""url"":""https://dl.airtable.com/.attachmentThumbnails/79d82be253fea53d652f5731f97db05c/650822e5"",""width"":3000,""height"":3000}}}]","2"
